kip      : sicak
klip     : yok, bos acilis
tekrar   : 10
makine   : DESKTOP-0J80KVV / Microsoft Windows NT 10.0.22631.0
an       : 2026-09-25 13:46:13
masaustu : WinSta0\vidshrink-olcum; kullanicinin ekranina pencere acilmaz, ekran okunmaz.
saat     : ms, uygulamanin kendi izi. Sifir baslaticinin Process.StartTime'i; app satirlari
           ayni tabana (VIDSHRINK_ACILIS_T0) yazar. Kabugun CreateProcess oncesi payi girmez.
kayit    : her surece KayitKalkani baslangic kancasi; HKCU ozel kovana yonlenir. Her kosumdan
           once ve sonra sag tik menusu, etiketler ve iliskilendirme degerleri karsilastirilir.
taraf    : aot = C:\Users\Administrator\Desktop\Projeler\VidShrink\.claude\worktrees\agent-a8679dcef88e1bf30\.calisma\worktree-agent-a8679dcef88e1bf30\yeni giris=baslatici kayit=baslatici ortam=VIDSHRINK_UPDATE_DISABLED=1
taraf    : aot-pgo0 = C:\Users\Administrator\Desktop\Projeler\VidShrink\.claude\worktrees\agent-a8679dcef88e1bf30\.calisma\worktree-agent-a8679dcef88e1bf30\yeni giris=baslatici kayit=baslatici ortam=VIDSHRINK_UPDATE_DISABLED=1;DOTNET_TieredPGO=0

== aot ==
adim                                 n     en_az   ortanca       p95    en_cok
kalkan-surec                        10       1.0       1.0       1.0       1.0
createprocess                       10       1.7       1.9       3.5       3.5
iz:baslatici                        10       8.6      10.0      13.2      13.2
iz:app-dogdu                        10      14.3      17.2      25.4      25.4
iz:main                             10      74.7      79.9      91.8      91.8
iz:tek-ornek                        10      76.5      81.5      93.8      93.8
iz:app-init                         10     214.4     230.7     242.0     242.0
iz:app-xaml                         10     235.5     248.0     264.1     264.1
iz:cerceve                          10     235.8     248.2     264.4     264.4
iz:ayar-okundu                      10     238.8     251.6     267.2     267.2
iz:palet                            10     239.1     251.9     267.5     267.5
iz:pencere-yapici                   10     260.2     271.9     289.0     289.0
iz:xaml-sekmeler                    10     301.3     321.4     348.8     348.8
iz:xaml-oynatici                    10     313.3     335.0     364.5     364.5
iz:xaml-kucultme                    10     325.7     347.2     379.2     379.2
iz:gecici-temizlik                  10     350.4     370.3     401.2     401.2
iz:xaml-donusturme                  10     350.2     372.2     411.0     411.0
iz:xaml-kaydedici                   10     356.1     376.6     415.6     415.6
iz:xaml-gelismis                    10     369.8     392.1     432.9     432.9
iz:xaml-ayarlar                     10     371.3     394.1     436.5     436.5
iz:xaml-sekmeler-bitti              10     382.8     404.9     444.6     444.6
iz:xaml                             10     384.8     407.3     447.5     447.5
iz:yapici-bitti                     10     410.9     432.7     474.2     474.2
iz:pencere-kuruldu                  10     414.6     436.2     478.1     478.1
iz:pencere-yuklendi                 10     533.1     578.3     621.3     621.3
iz:ayarlar                          10     551.7     597.6     644.5     644.5
iz:giris-canlandirmasi              10     552.2     598.1     645.0     645.0
iz:varsayilan-oneri                 10     556.9     602.9     650.0     650.0
iz:ilk-boya                         10     587.6     645.5     869.8     869.8

== aot-pgo0 ==
adim                                 n     en_az   ortanca       p95    en_cok
kalkan-surec                        10       1.0       1.0       1.0       1.0
createprocess                       10       1.7       2.1       2.4       2.4
iz:baslatici                        10       9.5      10.2      12.2      12.2
iz:app-dogdu                        10      14.3      15.9      25.5      25.5
iz:main                             10      69.6      77.5      91.0      91.0
iz:tek-ornek                        10      71.5      79.1      93.0      93.0
iz:app-init                         10     208.2     214.0     279.6     279.6
iz:app-xaml                         10     225.6     233.7     297.4     297.4
iz:cerceve                          10     225.8     233.9     297.7     297.7
iz:ayar-okundu                      10     228.2     236.8     300.7     300.7
iz:palet                            10     228.4     237.1     301.0     301.0
iz:pencere-yapici                   10     249.6     259.4     331.7     331.7
iz:xaml-sekmeler                    10     280.3     294.8     378.5     378.5
iz:xaml-oynatici                    10     292.8     306.8     396.3     396.3
iz:xaml-kucultme                    10     304.8     318.9     415.4     415.4
iz:gecici-temizlik                   9     336.1     362.2     425.5     425.5
iz:xaml-donusturme                  10     328.0     343.0     454.9     454.9
iz:xaml-kaydedici                   10     332.0     347.5     482.4     482.4
iz:xaml-gelismis                    10     345.3     360.3     483.1     483.1
iz:xaml-ayarlar                     10     346.5     362.0     484.9     484.9
iz:xaml-sekmeler-bitti              10     354.8     369.5     493.2     493.2
iz:xaml                              9     356.4     370.3     494.9     494.9
iz:yapici-bitti                     10     378.2     398.0     520.4     520.4
iz:pencere-kuruldu                  10     381.7     401.8     524.8     524.8
iz:pencere-yuklendi                 10     509.0     559.8     700.1     700.1
iz:ayarlar                          10     529.0     580.3     720.0     720.0
iz:giris-canlandirmasi              10     529.5     580.8     720.6     720.6
iz:varsayilan-oneri                 10     534.2     586.0     726.4     726.4
iz:ilk-boya                         10     569.2     637.5    1010.4    1010.4

== eslesik fark (aot-pgo0 eksi aot, eksi deger aot-pgo0 lehine) ==
adim                               cift   ortanca     en_az    en_cok  lehine
kalkan-surec                         10       0.0       0.0       0.0    0/10
createprocess                        10       0.1      -1.2       0.6    4/10
iz:baslatici                         10      -0.0      -2.9       2.3    5/10
iz:app-dogdu                         10      -1.3     -10.0       8.4    6/10
iz:main                              10      -2.9     -13.1       4.5    7/10
iz:tek-ornek                         10      -2.7     -13.6       4.3    6/10
iz:app-init                          10      -9.7     -25.3      37.6    7/10
iz:app-xaml                          10      -9.4     -26.2      33.3    8/10
iz:cerceve                           10      -9.3     -26.1      33.3    8/10
iz:ayar-okundu                       10      -9.7     -25.6      33.5    7/10
iz:palet                             10      -9.7     -25.5      33.5    8/10
iz:pencere-yapici                    10      -9.3     -28.8      42.7    7/10
iz:xaml-sekmeler                     10     -18.0     -48.4      39.9    7/10
iz:xaml-oynatici                     10     -17.5     -49.8      39.6    6/10
iz:xaml-kucultme                     10     -17.0     -52.8      41.4    6/10
iz:gecici-temizlik                    9      -5.5     -26.5      40.0    5/9
iz:xaml-donusturme                   10     -19.4     -57.9      43.9    7/10
iz:xaml-kaydedici                    10     -20.0     -58.2      66.8    7/10
iz:xaml-gelismis                     10     -22.2     -57.7      50.2    7/10
iz:xaml-ayarlar                      10     -22.1     -57.9      48.4    7/10
iz:xaml-sekmeler-bitti               10     -24.1     -57.1      48.6    7/10
iz:xaml                               9     -25.9     -57.6      47.4    6/9
iz:yapici-bitti                      10     -22.3     -57.1      46.2    7/10
iz:pencere-kuruldu                   10     -22.1     -56.9      46.7    7/10
iz:pencere-yuklendi                  10     -19.3     -70.0      78.8    7/10
iz:ayarlar                           10     -18.5     -68.5      75.5    7/10
iz:giris-canlandirmasi               10     -18.5     -68.6      75.6    7/10
iz:varsayilan-oneri                  10     -18.5     -68.4      76.4    7/10
iz:ilk-boya                          10     -33.4    -211.3     214.8    7/10
