kip      : sicak
klip     : yok, bos acilis
tekrar   : 10
makine   : DESKTOP-0J80KVV / Microsoft Windows NT 10.0.22631.0
an       : 2026-09-25 13:44:37
masaustu : WinSta0\vidshrink-olcum; kullanicinin ekranina pencere acilmaz, ekran okunmaz.
saat     : ms, uygulamanin kendi izi. Sifir baslaticinin Process.StartTime'i; app satirlari
           ayni tabana (VIDSHRINK_ACILIS_T0) yazar. Kabugun CreateProcess oncesi payi girmez.
kayit    : her surece KayitKalkani baslangic kancasi; HKCU ozel kovana yonlenir. Her kosumdan
           once ve sonra sag tik menusu, etiketler ve iliskilendirme degerleri karsilastirilir.
taraf    : taban = C:\Users\Administrator\Desktop\Projeler\VidShrink\.claude\worktrees\agent-a8679dcef88e1bf30\.calisma\worktree-agent-a8679dcef88e1bf30\taban giris=baslatici kayit=baslatici ortam=VIDSHRINK_UPDATE_DISABLED=1
taraf    : aot = C:\Users\Administrator\Desktop\Projeler\VidShrink\.claude\worktrees\agent-a8679dcef88e1bf30\.calisma\worktree-agent-a8679dcef88e1bf30\yeni giris=baslatici kayit=baslatici ortam=VIDSHRINK_UPDATE_DISABLED=1

== taban ==
adim                                 n     en_az   ortanca       p95    en_cok
kalkan-surec                        10       2.0       2.0       2.0       2.0
createprocess                       10       1.8       2.2       8.7       8.7
iz:baslatici                        10      56.8      67.2      82.1      82.1
iz:app-dogdu                        10      67.6      76.6      93.1      93.1
iz:main                             10     129.3     140.3     164.0     164.0
iz:tek-ornek                        10     131.0     142.1     167.1     167.1
iz:app-init                         10     274.3     308.0     354.0     354.0
iz:app-xaml                         10     295.7     325.9     373.9     373.9
iz:cerceve                          10     295.9     326.1     374.1     374.1
iz:ayar-okundu                      10     298.3     328.8     377.7     377.7
iz:palet                            10     298.5     329.0     377.9     377.9
iz:pencere-yapici                   10     321.2     353.4     406.3     406.3
iz:xaml-sekmeler                    10     361.8     395.6     456.5     456.5
iz:xaml-oynatici                    10     376.2     410.7     472.4     472.4
iz:xaml-kucultme                    10     389.4     424.6     494.5     494.5
iz:gecici-temizlik                  10     411.4     455.0     505.7     505.7
iz:xaml-donusturme                  10     417.5     449.7     543.5     543.5
iz:xaml-kaydedici                   10     431.0     456.9     551.0     551.0
iz:xaml-gelismis                    10     434.5     468.1     577.4     577.4
iz:xaml-ayarlar                     10     435.7     469.5     579.4     579.4
iz:xaml-sekmeler-bitti              10     442.5     477.1     593.4     593.4
iz:xaml                             10     444.3     479.4     596.1     596.1
iz:yapici-bitti                     10     473.4     504.9     626.4     626.4
iz:pencere-kuruldu                  10     477.3     509.3     631.9     631.9
iz:pencere-yuklendi                 10     619.8     676.3     823.2     823.2
iz:ayarlar                          10     641.7     696.8     843.8     843.8
iz:giris-canlandirmasi              10     642.2     697.4     844.3     844.3
iz:varsayilan-oneri                 10     647.4     702.6     849.6     849.6
iz:ilk-boya                         10     681.0     754.9    1151.4    1151.4

== aot ==
adim                                 n     en_az   ortanca       p95    en_cok
kalkan-surec                        10       1.0       1.0       1.0       1.0
createprocess                       10       1.8       2.1       3.1       3.1
iz:baslatici                        10       8.9      10.2      13.5      13.5
iz:app-dogdu                        10      14.0      15.8      19.5      19.5
iz:main                             10      71.1      84.4     106.6     106.6
iz:tek-ornek                        10      72.7      86.6     108.3     108.3
iz:app-init                         10     218.0     241.9     265.5     265.5
iz:app-xaml                         10     235.6     261.0     285.2     285.2
iz:cerceve                          10     235.8     261.2     285.5     285.5
iz:ayar-okundu                      10     238.3     264.4     288.1     288.1
iz:palet                            10     238.5     264.6     288.4     288.4
iz:pencere-yapici                   10     258.2     289.7     319.2     319.2
iz:xaml-sekmeler                    10     314.7     346.7     368.5     368.5
iz:xaml-oynatici                    10     329.0     360.2     381.3     381.3
iz:xaml-kucultme                    10     342.5     373.3     395.4     395.4
iz:gecici-temizlik                  10     361.6     396.3     426.6     426.6
iz:xaml-donusturme                  10     367.2     399.9     434.5     434.5
iz:xaml-kaydedici                   10     371.4     406.4     480.6     480.6
iz:xaml-gelismis                    10     384.7     420.3     481.6     481.6
iz:xaml-ayarlar                     10     386.4     421.8     483.7     483.7
iz:xaml-sekmeler-bitti              10     396.0     432.0     496.0     496.0
iz:xaml                             10     397.5     435.2     499.2     499.2
iz:yapici-bitti                     10     421.5     462.0     522.0     522.0
iz:pencere-kuruldu                  10     425.4     466.4     525.8     525.8
iz:pencere-yuklendi                 10     587.6     628.7     684.7     684.7
iz:ayarlar                          10     607.5     649.2     707.0     707.0
iz:giris-canlandirmasi              10     607.9     649.7     707.5     707.5
iz:varsayilan-oneri                 10     612.7     654.9     712.6     712.6
iz:ilk-boya                         10     647.1     717.3     965.4     965.4

== eslesik fark (aot eksi taban, eksi deger aot lehine) ==
adim                               cift   ortanca     en_az    en_cok  lehine
kalkan-surec                         10      -1.0      -1.0      -1.0   10/10
createprocess                        10      -0.1      -6.7       1.0    5/10
iz:baslatici                         10     -57.5     -71.9     -46.0   10/10
iz:app-dogdu                         10     -61.4     -77.6     -49.6   10/10
iz:main                              10     -56.5     -84.3     -29.7   10/10
iz:tek-ornek                         10     -56.5     -85.9     -30.1   10/10
iz:app-init                          10     -53.1    -136.0     -30.1   10/10
iz:app-xaml                          10     -52.4    -138.3     -28.7   10/10
iz:cerceve                           10     -52.5    -138.3     -28.6   10/10
iz:ayar-okundu                       10     -51.3    -139.4     -28.0   10/10
iz:palet                             10     -51.3    -139.4     -28.0   10/10
iz:pencere-yapici                    10     -52.9    -148.1     -26.5   10/10
iz:xaml-sekmeler                     10     -60.8    -141.8       3.7    9/10
iz:xaml-oynatici                     10     -61.3    -143.4       2.5    9/10
iz:xaml-kucultme                     10     -58.8    -152.0       4.9    9/10
iz:gecici-temizlik                   10     -45.1    -140.4     -13.9   10/10
iz:xaml-donusturme                   10     -50.2    -176.3      17.0    9/10
iz:xaml-kaydedici                    10     -48.9    -179.6      46.5    9/10
iz:xaml-gelismis                     10     -48.7    -192.7      47.1    9/10
iz:xaml-ayarlar                      10     -48.2    -193.0      48.0    9/10
iz:xaml-sekmeler-bitti               10     -45.2    -197.4      53.5    9/10
iz:xaml                              10     -45.2    -198.6      54.9    9/10
iz:yapici-bitti                      10     -45.2    -204.9      48.6    9/10
iz:pencere-kuruldu                   10     -45.4    -206.5      48.5    9/10
iz:pencere-yuklendi                  10     -46.9    -233.6      16.6    7/10
iz:ayarlar                           10     -45.4    -234.7      18.3    8/10
iz:giris-canlandirmasi               10     -45.4    -234.7      18.3    8/10
iz:varsayilan-oneri                  10     -45.5    -235.1      18.4    8/10
iz:ilk-boya                          10     -45.6    -504.3     251.2    6/10
