kip      : soguk
klip     : yok, bos acilis
tekrar   : 6
makine   : DESKTOP-0J80KVV / Microsoft Windows NT 10.0.22631.0
an       : 2026-09-25 13:47:26
masaustu : WinSta0\vidshrink-olcum; kullanicinin ekranina pencere acilmaz, ekran okunmaz.
saat     : ms, uygulamanin kendi izi. Sifir baslaticinin Process.StartTime'i; app satirlari
           ayni tabana (VIDSHRINK_ACILIS_T0) yazar. Kabugun CreateProcess oncesi payi girmez.
kayit    : her surece KayitKalkani baslangic kancasi; HKCU ozel kovana yonlenir. Her kosumdan
           once ve sonra sag tik menusu, etiketler ve iliskilendirme degerleri karsilastirilir.
taraf    : taban = C:\Users\Administrator\Desktop\Projeler\VidShrink\.claude\worktrees\agent-a8679dcef88e1bf30\.calisma\worktree-agent-a8679dcef88e1bf30\taban giris=baslatici kayit=baslatici ortam=VIDSHRINK_UPDATE_DISABLED=1
taraf    : aot = C:\Users\Administrator\Desktop\Projeler\VidShrink\.claude\worktrees\agent-a8679dcef88e1bf30\.calisma\worktree-agent-a8679dcef88e1bf30\yeni giris=baslatici kayit=baslatici ortam=VIDSHRINK_UPDATE_DISABLED=1

== taban ==
adim                                 n     en_az   ortanca       p95    en_cok
kalkan-surec                         6       2.0       2.0       2.0       2.0
createprocess                        6       4.1       6.5      13.7      13.7
iz:baslatici                         6      97.5      99.8     124.8     124.8
iz:app-dogdu                         6     113.9     117.1     142.4     142.4
iz:main                              6     254.1     266.1     303.5     303.5
iz:tek-ornek                         6     256.7     269.6     306.4     306.4
iz:app-init                          6     462.3     475.6     529.5     529.5
iz:app-xaml                          6     491.9     507.3     559.7     559.7
iz:cerceve                           6     492.1     507.5     560.0     560.0
iz:ayar-okundu                       6     496.9     515.7     565.2     565.2
iz:palet                             6     497.1     515.9     565.4     565.4
iz:pencere-yapici                    6     526.9     549.3     599.1     599.1
iz:xaml-sekmeler                     6     591.1     613.7     644.9     644.9
iz:gecici-temizlik                   6     609.5     634.3     680.3     680.3
iz:xaml-oynatici                     6     615.4     634.7     665.3     665.3
iz:xaml-kucultme                     6     629.3     649.4     681.1     681.1
iz:xaml-donusturme                   6     656.1     677.6     708.0     708.0
iz:xaml-kaydedici                    6     673.9     699.4     725.4     725.4
iz:xaml-gelismis                     6     674.5     700.1     725.9     725.9
iz:xaml-ayarlar                      6     676.6     702.0     727.3     727.3
iz:xaml-sekmeler-bitti               6     685.5     712.0     736.4     736.4
iz:xaml                              6     687.3     714.4     738.6     738.6
iz:yapici-bitti                      6     732.5     773.4     785.7     785.7
iz:pencere-kuruldu                   6     736.5     778.0     790.0     790.0
