kip      : sicak
klip     : C:\Users\Administrator\Desktop\Projeler\VidShrink\.calisma\hiper\klip\kucuk.mp4 (6.2 MB)
tekrar   : 14
makine   : DESKTOP-0J80KVV / Microsoft Windows NT 10.0.22631.0
an       : 2026-09-16 10:33:42
birim    : ms, surec yaratilmasindan (Process.StartTime) itibaren
kabuk-ilk-kare : ms, olcerin kendi saati; Start-Process cagrisindan ilk-kare satiri
           gorulene kadar, yoklama 20 ms. Sifir noktasi yapidan bagimsiz oldugu
           icin iki yapiyi karsilastiran tek adil sutun budur.
p95      : en yakin sira yontemi, ceil(0.95*n)
eslesik  : her tekrarda iki yapi, sira tekrardan tekrara donuyor

== taban ==  exe: C:\Users\Administrator\Desktop\Projeler\VidShrink\.calisma\hiper\c\VidShrink.exe  (ilk kare gelen: 14)

adim                 n   en_az ortanca     p95  en_cok
----                 -   ----- -------     ---  ------
kabuk-ilk-kare      14 1152,40 1239,80 1305,30 1305,30
baslatici           14   33,60   48,60   54,30   54,30
perde               14   61,10   81,90   87,00   87,00
app-dogdu           14   41,20   59,40   64,30   64,30
main                14   88,60  106,40  110,50  110,50
tek-ornek           14   91,00  109,40  114,40  114,40
libmpv-hazir        14  100,40  121,00  126,10  126,10
cerceve             14  262,90  328,20  344,40  344,40
gecici-temizlik     14  349,90  424,10  443,80  443,80
ayar-okundu         14  266,60  331,90  348,60  348,60
palet               14  266,90  332,30  349,00  349,00
pencere-yapici      14  287,60  373,60  449,00  449,00
xaml                14  496,50  587,80  651,60  651,60
yapici-bitti        14  571,20  660,40  725,00  725,00
pencere-kuruldu     14  744,90  832,40  896,60  896,60
pencere-yuklendi    14  847,90  931,60  999,20  999,20
ayarlar             14  867,30  947,40 1016,60 1016,60
giris-canlandirmasi 14  867,90  948,00 1017,10 1017,10
sekme               14  868,90  948,80 1018,00 1018,00
kare-kaynagi        14 1139,50 1217,60 1290,60 1290,60
ilk-kare            14 1142,00 1219,40 1292,40 1292,40
motor-acildi        14 1134,60 1212,60 1285,60 1285,60

== hiperE ==  exe: C:\Users\Administrator\Desktop\Projeler\VidShrink\.calisma\hiper\e\VidShrink.exe  (ilk kare gelen: 14)

adim                 n  en_az ortanca     p95  en_cok
----                 -  ----- -------     ---  ------
kabuk-ilk-kare      14 862,00 1019,30 1269,40 1269,40
baslatici           14  39,10   46,60   64,90   64,90
perde               14  69,10   79,30  100,60  100,60
app-dogdu           14  48,80   56,50   78,00   78,00
main                14  88,70  100,50  140,00  140,00
tek-ornek           14  92,50  103,80  144,40  144,40
libmpv-hazir        14 102,70  116,00  160,80  160,80
cerceve             14 274,30  316,30  384,10  384,10
gecici-temizlik     14 356,50  411,20  489,40  489,40
ayar-okundu         14 277,30  319,80  388,70  388,70
palet               14 277,60  320,00  389,00  389,00
pencere-yapici      14 297,30  389,60  495,50  495,50
xaml-sekmeler       14 334,00  434,30  534,10  534,10
xaml-oynatici       14 355,40  456,60  554,10  554,10
xaml-kucultme       14 371,40  475,40  570,00  570,00
xaml-donusturme     14 391,30  495,80  591,90  591,90
xaml-hakkinda       14 395,60  499,60  595,80  595,80
xaml-kaydedici      14 397,00  500,80  597,20  597,20
xaml-gelismis       14 397,20  501,20  597,40  597,40
xaml-ayarlar        14 398,00  502,10  598,20  598,20
xaml-sekmeler-bitti 14 400,80  505,20  601,40  601,40
xaml                14 402,00  506,40  602,70  602,70
yapici-bitti        14 472,60  577,70  687,80  687,80
pencere-kuruldu     14 641,70  750,40  868,60  868,60
pencere-yuklendi    14 743,60  849,00  975,70  975,70
ayarlar             14 760,20  865,90  996,50  996,50
giris-canlandirmasi 14 760,70  866,40  997,20  997,20
sekme               14 761,60  867,40  998,50  998,50
kare-kaynagi        14 818,00  920,10 1256,90 1256,90
ilk-kare            14 841,40 1002,70 1265,30 1265,30
motor-acildi        14 783,00  888,10 1024,40 1024,40

== eslesik fark (hiperE eksi taban, eksi deger hiperE lehine) ==

adim                cift fark_ortanca fark_en_az fark_en_cok b_lehine_cift
----                ---- ------------ ---------- ----------- -------------
kabuk-ilk-kare        14      -213,70    -425,60      117,00            13
baslatici             14        -1,20     -11,60       31,30             9
perde                 14        -3,30     -15,20       39,50             9
app-dogdu             14        -2,20     -11,50       36,80            10
main                  14        -5,20     -19,80       51,40             9
tek-ornek             14        -5,40     -19,60       53,40             9
libmpv-hazir          14        -5,20     -20,70       60,40             9
cerceve               14       -10,70     -42,40      121,20            10
gecici-temizlik       14        -9,80     -68,50      139,50             9
ayar-okundu           14       -11,20     -42,10      122,10            10
palet                 14       -11,10     -42,10      122,10            10
pencere-yapici        14        -6,20    -132,40      207,90             7
xaml                  14       -89,60    -229,30      106,20            12
yapici-bitti          14       -87,80    -234,70      116,60            12
pencere-kuruldu       14       -88,80    -237,20      123,70            12
pencere-yuklendi      14       -93,20    -240,30      127,80            12
ayarlar               14       -92,10    -242,80      129,20            12
giris-canlandirmasi   14       -92,10    -242,80      129,30            12
sekme                 14       -92,20    -242,80      129,60            12
kare-kaynagi          14      -311,10    -460,00      117,40            13
ilk-kare              14      -215,60    -440,00      123,30            13
motor-acildi          14      -338,00    -487,40     -110,20            14
