KOL	en	main.about.engine.title	How the engine thinks	How the engine thinks
KOL	en	main.about.loss.title	Where the loss goes	Where the loss goes
KOL	en	main.action.cancel-upload	Cancel the upload	Cancel the upload
KOL	en	main.action.share	Share the file	Share the file
KOL	en	main.action.show-in-folder	Show in folder	Show in folder
KOL	en	main.advanced.error	Advanced setting could not be applied: {0}	Advanced setting could not be applied: {0}
KOL	en	main.advanced.min-fps.label	Frame-rate floor (at least)	Frame-rate floor (at least)
KOL	en	main.advanced.min-resolution.label	Resolution floor (at least)	Resolution floor (at least)
KOL	en	main.ai.clipboard-failed	The clipboard is unavailable	The clipboard is unavailable
KOL	en	main.ai.revert	Back to automatic	Back to automatic
KOL	en	main.allow.fps	May lower frame rate	May lower frame rate
KOL	en	main.allow.resolution	May lower resolution	May lower resolution
KOL	en	main.drop.hint	Any format ffmpeg can open	Any format FFmpeg can open
KOL	en	main.drop.no-folder	Folders cannot be dropped	Folders cannot be dropped
KOL	en	main.drop.release	Release to load this file	Release to load this file
KOL	en	main.drop.single	Only one file at a time	Only one file at a time
KOL	en	main.drop.title	Drop a media file here	Drop a media file here
KOL	en	main.error.folder	The folder could not be opened	The folder could not be opened
KOL	en	main.error.link	The link could not be opened	The link could not be opened
KOL	en	main.error.pick	The file could not be chosen	The file could not be chosen
KOL	en	main.error.probe	The hardware encoder probe failed	The hardware encoder probe failed
KOL	en	main.error.setting	The setting could not be saved	The setting could not be saved
KOL	en	main.error.unusable	This file cannot be used	This file cannot be used
KOL	en	main.estimate.basis.estimated	estimated from source bitrate	Estimated from source bitrate
KOL	en	main.estimate.mode.enforced	two-pass enforces this size	Two-pass enforces this size
KOL	en	main.estimate.of-source	Of source	Of source
KOL	en	main.fast-gpu.bitrate-floor	{0} only follows {1} kbit/s and above while the plan asks for {2} kbit/s	{0} only follows {1} kbit/s and above while the plan asks for {2} kbit/s
KOL	en	main.fast-gpu.probe-failed	the {0} probe did not pass	The {0} probe did not pass
KOL	en	main.fast-gpu.probe-slow	the {0} probe took {1} ms, past the {2} ms budget	The {0} probe took {1} ms, past the {2} ms budget
KOL	en	main.fill.ceiling	Stay at quality ceiling	Stay at quality ceiling
KOL	en	main.hdr.sdr	Convert to SDR	Convert to SDR
KOL	en	main.output.waiting	Waiting for your decision	Waiting for your decision
KOL	en	main.plan.reasons	Why these choices	Why these choices
KOL	en	main.plan.splitter	Splitter between the preview and the plan panel	Splitter between the preview and the plan panel
KOL	en	main.plan.title	What it will do	What it will do
KOL	en	main.quality.basis.estimated	Estimated from the source bitrate	Estimated from the source bitrate
KOL	en	main.quality.basis.measured	Measured from a sample encoded from this clip	Measured from a sample encoded from this clip
KOL	en	main.quality.basis.under-target	The source is already under this target and is copied as it is	The source is already under this target and is copied as it is
KOL	en	main.quality.loss	Loss against the source	Loss against the source
KOL	en	main.reason.budget-below-ceiling	the budget lands near CRF {0}, short of the CRF {1} ceiling, so two-pass VBR spends the whole {2} MB	The budget lands near CRF {0}, short of the CRF {1} ceiling, so two-pass VBR spends the whole {2} MB
KOL	en	main.reason.budget-exceeds-ceiling	the budget affords CRF {0}, better than the CRF {1} transparency ceiling for this intent, so the encoder stops at the ceiling and delivers about {2} MB instead of padding the file to {3} MB	The budget affords CRF {0}, better than the CRF {1} transparency ceiling for this intent, so the encoder stops at the ceiling and delivers about {2} MB instead of padding the file to {3} MB
KOL	en	main.reason.encoder-fallback-not-in-build	the {0} encoder is not part of this ffmpeg build, so encoding falls back to {1}	The {0} encoder is not part of this FFmpeg build, so encoding falls back to {1}
KOL	en	main.reason.encoder-fallback-not-measured	the {0} encoder has not been measured on this machine, so encoding falls back to {1}	The {0} encoder has not been measured on this machine, so encoding falls back to {1}
