ekran	durum	tur	oran	zemin	on	yol	metin
ana-oynatici	edilgen	yazi	1.05	#B026FF	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnNoticeInstall	Download
ana-kucult	edilgen	yazi	1.05	#B026FF	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnRetryAgain	Try Again
ana-kucult	edilgen	yazi	1.05	#B026FF	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnTrimConfirm	Trim and Save
ana-kucult	edilgen	yazi	1.05	#B026FF	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnNoticeInstall	Download
ana-donustur	edilgen	yazi	1.05	#B026FF	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnNoticeInstall	Download
ana-kaydedici	edilgen	yazi	1.05	#B026FF	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnStart	Start
ana-kaydedici	edilgen	yazi	1.05	#B026FF	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnStop	Stop
ana-kaydedici	edilgen	yazi	1.05	#B026FF	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnToShrink	Send to Shrink
ana-kaydedici	edilgen	yazi	1.05	#B026FF	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnDrawRegion	Draw with mouse
ana-kaydedici	edilgen	yazi	1.05	#B026FF	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnNoticeInstall	Download
ana-gelismis	edilgen	yazi	1.05	#B026FF	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnNoticeInstall	Download
ana-ayarlar	edilgen	yazi	1.05	#B026FF	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnNoticeInstall	Download
RecorderMini	pressed	simge	1.19	#00F3FF	#FFFFFF	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > Path @Button#BtnStop	Path
RecorderMini	pointerover	simge	1.28	#00F3FF	#FFFFFF	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > Path @Button#BtnStop	Path
RecorderMini	dinlenik	simge	1.38	#00F3FF	#FFFFFF	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > Path @Button#BtnStop	Path
RecorderMini	focus-visible	simge	1.38	#00F3FF	#FFFFFF	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > Path @Button#BtnStop	Path
RecorderMini	edilgen	simge	1.38	#00F3FF	#FFFFFF	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > Path @Button#BtnStop	Path
ana-kucult	pointerover	yazi	1.48	#0D656B	#B026FF	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnZoomIn	+
acilir-liste	edilgen	yazi	1.74	#0D565C	#71717A	ComboBoxItem > Border#ItemBorder > ContentPresenter#PART_ContentPresenter > TextBlock	Seçili seçenek
kucultme-isi	edilgen	yazi	2.27	#666669	#66FFFFFF	WrapPanel > Button#BtnOvershootStop > ContentPresenter#PART_ContentPresenter > AccessText @Button#BtnOvershootStop	Bu Haliyle Bırak
kucultme-isi	edilgen	yazi	2.27	#666669	#66FFFFFF	StackPanel#QueueControls > Button#BtnPause > ContentPresenter#PART_ContentPresenter > AccessText @Button#BtnPause	Sırayı Duraklat
kucultme-isi	edilgen	yazi	2.27	#666669	#66FFFFFF	Grid#CountdownRow > Button#BtnCountdownCancel > ContentPresenter#PART_ContentPresenter > AccessText @Button#BtnCountdownCancel	Vazgeç
kucultme-isi	edilgen	yazi	2.27	#666669	#66FFFFFF	WrapPanel > Button#BtnOpenInApp > ContentPresenter#PART_ContentPresenter > AccessText @Button#BtnOpenInApp	Uygulamada Aç
kucultme-isi	edilgen	yazi	2.27	#666669	#66FFFFFF	WrapPanel > Button#BtnReveal > ContentPresenter#PART_ContentPresenter > AccessText @Button#BtnReveal	Klasörde Göster
kucultme-isi	edilgen	yazi	2.27	#666669	#66FFFFFF	WrapPanel > Button#BtnShare > ContentPresenter#PART_ContentPresenter > AccessText @Button#BtnShare	Dosyayı Paylaş
kucultme-isi	edilgen	yazi	2.27	#666669	#66FFFFFF	WrapPanel > Button#BtnShareCancel > ContentPresenter#PART_ContentPresenter > AccessText @Button#BtnShareCancel	Yüklemeyi İptal Et
kucultme-isi	edilgen	yazi	2.27	#666669	#66FFFFFF	WrapPanel > Button#BtnClose > ContentPresenter#PART_ContentPresenter > AccessText @Button#BtnClose	İptal
kucultme-isi	edilgen	yazi	2.27	#666669	#66FFFFFF	Grid#ShareLinkRow > Button#BtnShareCopy > ContentPresenter#PART_ContentPresenter > AccessText @Button#BtnShareCopy	Kopyala
ana-oynatici	pressed	yazi	2.48	#7B64FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnNoticeInstall	Download
ana-kucult	pressed	yazi	2.48	#7B64FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnRetryAgain	Try Again
ana-kucult	pressed	yazi	2.48	#7B64FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnTrimConfirm	Trim and Save
ana-kucult	pressed	yazi	2.48	#7B64FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnNoticeInstall	Download
ana-donustur	pressed	yazi	2.48	#7B64FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnNoticeInstall	Download
ana-kaydedici	pressed	yazi	2.48	#7B64FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnStart	Start
ana-kaydedici	pressed	yazi	2.48	#7B64FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnStop	Stop
ana-kaydedici	pressed	yazi	2.48	#7B64FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnToShrink	Send to Shrink
ana-kaydedici	pressed	yazi	2.48	#7B64FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnDrawRegion	Draw with mouse
ana-kaydedici	pressed	yazi	2.48	#7B64FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnNoticeInstall	Download
ana-gelismis	pressed	yazi	2.48	#7B64FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnNoticeInstall	Download
ana-ayarlar	pressed	yazi	2.48	#7B64FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnNoticeInstall	Download
ana-kaydedici	edilgen	yazi	2.88	#292D2D	#71717A	RadioButton#RadAdvanced > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @RadioButton#RadAdvanced	Advanced
ana-kaydedici	edilgen	yazi	3.15	#242626	#71717A	RadioButton#RadSimple > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @RadioButton#RadSimple	Simple
