kaynak,g_sn,g_kare,kmin_kare,bitrate_k,boyut_bayt,ikare,gerc_aralik_sn,kare,mean,p10,worst
s1-kesikli,2,60,30,1864,4688172,12,1.791,600,78.373,69.235,55.692
s1-kesikli,5,150,30,1864,4695533,8,2.705,600,79.450,70.700,57.752
s1-kesikli,10,300,30,1864,4691206,7,3.156,600,79.583,70.591,58.181
s1-kesikli,15,450,30,1864,4692718,7,3.156,600,79.631,70.825,57.804
s1-kesikli,20,600,30,1864,4694531,6,3.787,600,79.672,70.791,57.806
s2-durgun,2,60,30,1864,5018555,10,2.000,600,96.416,95.910,95.633
s2-durgun,5,150,30,1864,5112843,4,5.000,600,96.897,96.491,96.292
s2-durgun,10,300,30,1864,5079476,2,10.000,600,97.078,96.838,96.739
s2-durgun,15,450,30,1864,5085039,2,15.000,600,97.051,96.821,96.713
s2-durgun,20,600,30,1864,4966459,1,0.000,600,97.140,97.053,96.760
s3-hareketli,2,60,30,1864,4708960,11,1.987,600,83.573,80.441,77.243
s3-hareketli,5,150,30,1864,4714220,5,4.717,600,84.811,81.731,78.402
s3-hareketli,10,300,30,1864,4700929,3,6.933,600,85.053,81.869,79.429
s3-hareketli,15,450,30,1864,4700384,2,13.867,600,85.260,82.191,79.705
s3-hareketli,20,600,30,1864,4699139,1,0.000,600,85.248,82.258,79.451
s4-yuksek,2,120,60,8390,20514190,12,1.750,1200,80.766,73.311,60.833
s4-yuksek,5,300,60,8390,20471666,8,2.429,1200,81.103,73.891,61.171
s4-yuksek,10,600,60,8390,20463825,6,3.400,1200,81.192,74.081,61.229
s4-yuksek,15,900,60,8390,20462161,6,3.400,1200,81.236,74.059,60.987
s4-yuksek,20,1200,60,8390,20462208,5,4.250,1200,81.217,74.181,60.732
