kaynak,g_sn,g_kare,kmin_kare,bitrate_k,boyut_bayt,ikare,gerc_aralik_sn,kare,mean,p10,worst
s1-kesikli,2,60,30,1864,4439151,10,2.000,600,78.591,60.648,45.591
s1-kesikli,5,150,30,1864,4383048,4,5.000,600,79.683,63.324,50.078
s1-kesikli,10,300,30,1864,4456117,2,10.000,600,80.084,64.745,51.666
s1-kesikli,15,450,30,1864,4435072,2,15.000,600,80.092,64.731,51.145
s1-kesikli,20,600,30,1864,4461452,1,0.000,600,80.214,65.121,51.145
s4-yuksek,2,120,60,8390,20088536,10,2.000,1200,81.453,67.722,54.200
s4-yuksek,5,300,60,8390,19737145,4,5.000,1200,81.421,68.310,55.031
s4-yuksek,10,600,60,8390,19609467,2,10.000,1200,81.475,68.279,55.031
s4-yuksek,15,900,60,8390,19706455,2,15.000,1200,81.494,68.408,55.031
s4-yuksek,20,1200,60,8390,19662476,1,0.000,1200,81.503,68.408,55.031
