kaynak bitrate_k kare mean p10 worst boyut_bayt
s1-kesikli 150 600 19.539 6.420 2.163 400811
s1-kesikli 300 600 34.782 14.603 8.985 786552
s1-kesikli 600 600 55.363 36.977 27.476 1545302
s1-kesikli 1200 600 71.911 59.572 48.226 3043387
s1-kesikli 2400 600 82.962 76.347 62.732 6035055
s1-kesikli 4800 600 90.096 85.841 77.811 12014843
s1-kesikli 9600 600 94.647 90.918 87.382 23781336
s1-kesikli 19200 600 97.092 94.294 87.928 45521158
s2-durgun 150 600 92.456 89.711 89.356 395546
s2-durgun 300 600 94.747 94.490 93.516 784310
s2-durgun 600 600 95.710 95.163 95.048 1552134
s2-durgun 1200 600 96.489 96.019 95.788 3170843
s2-durgun 2400 600 97.218 97.202 96.913 5953337
s2-durgun 4800 600 97.246 97.228 97.207 6034573
s2-durgun 9600 600 97.247 97.229 97.208 6038527
s2-durgun 19200 600 97.247 97.229 97.208 6038528
s3-hareketli 150 600 24.271 19.645 17.485 403024
s3-hareketli 300 600 39.782 33.091 28.294 795372
s3-hareketli 600 600 61.089 54.606 46.468 1567958
s3-hareketli 1200 600 78.183 74.541 70.150 3061739
s3-hareketli 2400 600 88.038 84.700 82.698 6035183
s3-hareketli 4800 600 93.645 89.994 88.420 12033022
s3-hareketli 9600 600 96.552 93.106 92.026 24055423
s3-hareketli 19200 600 98.148 95.511 94.727 47830008
KALIBRE-BITTI
