kesit	kodek	kol	bayt	kbps	vmafneg_ort	vmafneg_harm	vmafneg_p10	xpsnr
karanlik	hevc_nvenc	taban	2656500	2125.2	94.458	94.308	89.602	39.288
karanlik	hevc_nvenc	highbitdepth	2665099	2132.1	94.822	94.683	90.290	39.795
karanlik	hevc_nvenc	lookahead	2692564	2154.1	94.960	94.845	90.993	39.573
karanlik	hevc_nvenc	spatialaq	2619291	2095.4	93.909	93.749	89.090	39.520
karanlik	av1_nvenc	taban	2546981	2037.6	95.690	95.576	91.276	39.058
karanlik	av1_nvenc	highbitdepth	2550424	2040.3	96.011	95.904	91.697	39.778
karanlik	av1_nvenc	tf_level	2545442	2036.4	95.747	95.639	91.442	39.021
karanlik	av1_nvenc	lookahead	2543921	2035.1	95.953	95.847	91.764	39.489
karanlik	av1_nvenc	spatialaq	2518664	2014.9	95.392	95.272	90.958	39.262
parlak	hevc_nvenc	taban	3382128	2705.7	92.635	92.504	87.652	39.692
parlak	hevc_nvenc	highbitdepth	3399845	2719.9	93.072	92.957	88.382	40.253
parlak	hevc_nvenc	lookahead	3359215	2687.4	92.730	92.588	88.004	39.653
parlak	hevc_nvenc	spatialaq	3318232	2654.6	91.980	91.823	85.790	39.657
parlak	av1_nvenc	taban	3200340	2560.3	93.648	93.552	89.679	39.645
parlak	av1_nvenc	highbitdepth	3204359	2563.5	94.164	94.077	89.954	40.508
parlak	av1_nvenc	tf_level	3203306	2562.6	93.455	93.373	89.380	39.637
parlak	av1_nvenc	lookahead	3165165	2532.1	93.363	93.241	88.604	39.670
parlak	av1_nvenc	spatialaq	3176172	2540.9	93.250	93.144	88.951	39.619
hareketli	hevc_nvenc	taban	2788303	2230.6	96.837	96.663	90.150	39.650
hareketli	hevc_nvenc	highbitdepth	2790405	2232.3	97.000	96.830	90.511	40.325
hareketli	hevc_nvenc	lookahead	2763506	2210.8	97.098	96.948	91.296	39.632
hareketli	hevc_nvenc	spatialaq	2765839	2212.7	96.676	96.500	90.066	39.966
hareketli	av1_nvenc	taban	2738492	2190.8	97.500	97.347	91.619	39.882
hareketli	av1_nvenc	highbitdepth	2723576	2178.9	97.644	97.497	91.954	40.705
hareketli	av1_nvenc	tf_level	2733502	2186.8	97.547	97.398	91.679	39.878
hareketli	av1_nvenc	lookahead	2693162	2154.5	97.578	97.436	92.146	39.969
hareketli	av1_nvenc	spatialaq	2711728	2169.4	97.358	97.200	91.280	40.073
