kodlayici;sahne;sure;bit;bit_sn;kodlama_sn
libx264;17;12.217;155993440;12768555;5.1
libx264;10;39.8;423400304;10638199;14.3
libx264;12;5.634;45703536;8112094;2.1
libx264;3;14.85;50955336;3431336;4.1
libx264;21;7.517;33353272;4437046;3.1
libx264;23;22.534;70508112;3128966;6.1
libx264;16;2.75;4127848;1501036;2.1
libx264;14;28.534;17050112;597537;7.1
libx265;17;12.217;61585352;5040955;28
libx265;10;39.8;174007496;4372048;32.6
libx265;12;5.634;21204776;3763716;3
libx265;3;14.85;21568768;1452442;10.3
libx265;21;7.517;15878064;2112287;4.1
libx265;23;22.534;32859160;1458204;35
libx265;16;2.75;2137728;777356;3.1
libx265;14;28.534;9563384;335157;21.2
libsvtav1;17;12.217;178343480;14597977;10.1
libsvtav1;10;39.8;477295752;11992356;40.7
libsvtav1;12;5.634;66413312;11787950;9.2
libsvtav1;3;14.85;64584696;4349138;12.1
libsvtav1;21;7.517;45620656;6068998;8.1
libsvtav1;23;22.534;99029408;4394666;18.3
libsvtav1;16;2.75;5502008;2000730;5.1
libsvtav1;14;28.534;21345464;748071;17.2
