# REJIM: sabit esik 0,2 (T101). Bugunku uretim esigi turetiyor —
# theta(t) = clamp(0,08 + 2,09*p90(+-40 sn); 0,05; 0,15), ThresholdRule.Measured;
# turetilen haritada tek esik yoktur (SceneMap.Threshold = NaN, kural SceneMap.Rule'da).
# Bu dosya YENIDEN URETILMEDI: docs/olcumler/sahne-haritasi.md:13 bu sinirlari
# 0,2 rejiminin kaydi olarak pimliyor. Bugunku kuralin haritasi ve tam komutlari
# docs/olcumler/dinamik-esik.md icinde. Ureten: tools/sahne-yer-gercegi/tara.ps1
# kaynak .calisma/kaynak/kaynak-1080p60-hdr-17dk.mp4 · not T113.
index;start;end;sure;karmasiklik
0;0;34.367811;34.368;1.47762
1;34.367811;93.100433;58.733;0.10019
2;93.100433;144.116778;51.016;1.27347
3;144.116778;158.9663;14.85;0.79423
4;158.9663;170.017367;11.051;0.62431
5;170.017367;185.466633;15.449;0.55373
6;185.466633;200.666856;15.2;0.61432
7;200.666856;202.750844;2.084;0.76381
8;202.750844;208.883667;6.133;0.62603
9;208.883667;215.950889;7.067;0.61859
10;215.950889;255.750489;39.8;1.4569
11;255.750489;327.683311;71.933;0.64822
12;327.683311;333.299889;5.617;1.01539
13;333.299889;477.932811;144.633;0.07119
14;477.932811;506.449622;28.517;0.12892
15;506.449622;519.666256;13.217;0.08546
16;519.666256;522.415811;2.75;0.40755
17;522.415811;534.632444;12.217;1.55896
18;534.632444;540.765511;6.133;0.67556
19;540.765511;998.714867;457.949;1.52005
20;998.714867;1004.048356;5.333;0.84552
21;1004.048356;1011.548611;7.5;0.76477
22;1011.548611;1013.631522;2.083;0.49592
23;1013.631522;1036.165911;22.534;0.48949
